Group Chi p1 p2 Class Size
J3 2 5 19 15 50232960
J3 3 5 -1 -1 50232960
J3 3 5 2 2 50232960
J3 3 5 3 3 50232960
J3 3 5 3 4 50232960
J3 3 5 17 12 50232960
J3 3 5 17 13 50232960
J3 3 5 19 14 50232960
J3 3 5 19 15 50232960
J3 4 5 -1 -1 50232960
J3 4 5 2 2 50232960
J3 4 5 3 3 50232960
J3 4 5 3 4 50232960
J3 4 5 17 12 50232960
J3 4 5 17 13 50232960
J3 4 5 19 14 50232960
J3 4 5 19 15 50232960
J3 5 5 -1 -1 50232960
J3 5 5 2 2 50232960
J3 5 5 3 3 50232960
J3 5 5 3 4 50232960
J3 5 5 17 12 50232960
J3 5 5 17 13 50232960
J3 5 5 19 14 50232960
J3 5 5 19 15 50232960
J3 6 5 -1 -1 50232960
J3 6 5 2 2 50232960
J3 6 5 3 3 50232960
J3 6 5 3 4 50232960
J3 6 5 17 12 50232960
J3 6 5 17 13 50232960
J3 6 5 19 14 50232960
J3 6 5 19 15 50232960
J3 7 5 -1 -1 50232960
J3 7 5 2 2 50232960
J3 7 5 3 3 50232960
J3 7 5 3 4 50232960
J3 7 5 17 12 50232960
J3 7 5 17 13 50232960
J3 7 5 19 14 50232960
J3 7 5 19 15 50232960
J3 8 5 -1 -1 50232960
J3 8 5 2 2 50232960
J3 8 5 3 3 50232960
J3 8 5 3 4 50232960
J3 8 5 17 12 50232960
J3 8 5 17 13 50232960
J3 8 5 19 14 50232960
J3 8 5 19 15 50232960
J3 9 5 -1 -1 50232960
J3 9 5 2 2 50232960
J3 9 5 3 3 50232960
J3 9 5 3 4 50232960
J3 9 5 17 12 50232960
J3 9 5 17 13 50232960
J3 9 5 19 14 50232960
J3 9 5 19 15 50232960
J3 10 5 -1 -1 50232960
J3 10 5 2 2 50232960
J3 10 5 3 3 50232960
J3 10 5 3 4 50232960
J3 10 5 17 12 50232960
J3 10 5 17 13 50232960
J3 10 5 19 14 50232960
J3 10 5 19 15 50232960
J3 11 5 -1 -1 50232960
J3 11 5 2 2 50232960
J3 11 5 3 3 50232960
J3 11 5 3 4 50232960
J3 11 5 17 12 50232960
J3 11 5 17 13 50232960
J3 11 5 19 14 50232960
J3 11 5 19 15 50232960
J3 12 5 -1 -1 50232960
J3 12 5 2 2 50232960
J3 12 5 3 3 50232960
J3 12 5 3 4 50232960
J3 12 5 17 12 50232960
J3 12 5 17 13 50232960
J3 12 5 19 14 50232960
J3 12 5 19 15 50232960
J3 13 5 -1 -1 50232960
J3 13 5 2 2 50232960
J3 13 5 3 3 50232960
J3 13 5 3 4 50232960
J3 13 5 17 12 50232960
J3 13 5 17 13 50232960
J3 13 5 19 14 50232960
J3 13 5 19 15 50232960
J3 14 5 -1 -1 50232960
J3 14 5 2 2 50232960
J3 14 5 3 3 50232960
J3 14 5 3 4 50232960
J3 14 5 17 12 50232960
J3 14 5 17 13 50232960
J3 14 5 19 14 50232960
J3 14 5 19 15 50232960
J3 15 5 -1 -1 50232960
J3 15 5 2 2 50232960
J3 15 5 3 3 50232960
J3 15 5 3 4 50232960
J3 15 5 17 12 50232960
J3 15 5 17 13 50232960
J3 15 5 19 14 50232960
J3 15 5 19 15 50232960
J3 2 17 -1 -1 50232960
J3 2 17 2 2 50232960
J3 2 17 3 3 50232960
J3 2 17 3 4 50232960
J3 2 17 5 6 50232960
J3 2 17 5 7 50232960
J3 2 17 19 18 50232960
J3 2 17 19 19 50232960
J3 3 17 -1 -1 50232960
J3 3 17 2 2 50232960
J3 3 17 3 3 50232960
J3 3 17 3 4 50232960
J3 3 17 5 6 50232960
J3 3 17 5 7 50232960
J3 3 17 19 18 50232960
J3 3 17 19 19 50232960
J3 4 17 -1 -1 50232960
J3 4 17 2 2 50232960
J3 4 17 3 3 50232960
J3 4 17 3 4 50232960
J3 4 17 5 6 50232960
J3 4 17 5 7 50232960
J3 4 17 19 18 50232960
J3 4 17 19 19 50232960
J3 5 17 -1 -1 50232960
J3 5 17 2 2 50232960
J3 5 17 3 3 50232960
J3 5 17 3 4 50232960
J3 5 17 5 6 50232960
J3 5 17 5 7 50232960
J3 5 17 19 18 50232960
J3 5 17 19 19 50232960
J3 6 17 -1 -1 50232960
J3 6 17 2 2 50232960
J3 6 17 3 3 50232960
J3 6 17 3 4 50232960
J3 6 17 5 6 50232960
J3 6 17 5 7 50232960
J3 6 17 19 18 50232960
J3 6 17 19 19 50232960
J3 7 17 -1 -1 50232960
J3 7 17 2 2 50232960
J3 7 17 3 3 50232960
J3 7 17 3 4 50232960
J3 7 17 5 6 50232960
J3 7 17 5 7 50232960
J3 7 17 19 18 50232960
