Group Chi p1 p2 Class Size
M22 10 7 5 6 443520
M22 10 7 11 9 443520
M22 10 7 11 10 443520
M22 2 11 -1 -1 443520
M22 2 11 2 2 443520
M22 2 11 3 3 443520
M22 2 11 5 6 443520
M22 2 11 7 8 443520
M22 2 11 7 9 443520
M22 3 11 -1 -1 443520
M22 3 11 2 2 443520
M22 3 11 3 3 443520
M22 3 11 5 6 443520
M22 3 11 7 8 443520
M22 3 11 7 9 443520
M22 4 11 -1 -1 443520
M22 4 11 2 2 443520
M22 4 11 3 3 443520
M22 4 11 5 6 443520
M22 4 11 7 8 443520
M22 4 11 7 9 443520
M22 5 11 -1 -1 443520
M22 5 11 2 2 443520
M22 5 11 3 3 443520
M22 5 11 5 6 443520
M22 5 11 7 8 443520
M22 5 11 7 9 443520
M22 6 11 -1 -1 443520
M22 6 11 2 2 443520
M22 6 11 3 3 443520
M22 6 11 5 6 443520
M22 6 11 7 8 443520
M22 6 11 7 9 443520
M22 7 11 -1 -1 443520
M22 7 11 2 2 443520
M22 7 11 3 3 443520
M22 7 11 5 6 443520
M22 7 11 7 8 443520
M22 7 11 7 9 443520
M22 8 11 -1 -1 443520
M22 8 11 2 2 443520
M22 8 11 3 3 443520
M22 8 11 5 6 443520
M22 8 11 7 8 443520
M22 8 11 7 9 443520
M22 9 11 -1 -1 443520
M22 9 11 2 2 443520
M22 9 11 3 3 443520
M22 9 11 5 6 443520
M22 9 11 7 8 443520
M22 9 11 7 9 443520
M22 10 11 -1 -1 443520
M22 10 11 2 2 443520
M22 10 11 3 3 443520
M22 10 11 5 6 443520
M22 10 11 7 8 443520
M22 10 11 7 9 443520
M22.2 2 2 -1 -1 887040
M22.2 2 2 3 2 887040
M22.2 2 2 5 3 887040
M22.2 2 2 7 4 887040
M22.2 2 2 7 5 887040
M22.2 3 2 -1 -1 887040
M22.2 3 2 3 2 887040
M22.2 3 2 5 3 887040
M22.2 3 2 7 4 887040
M22.2 3 2 7 5 887040
M22.2 4 2 -1 -1 887040
M22.2 4 2 3 2 887040
M22.2 4 2 5 3 887040
